time,sn_day_avg,sn_day_max,sn_day_min,sm_day_avg,sm_day_max,sm_day_min,sx_day_avg,sx_day_max,sx_day_min,dn_day_avg,dn_day_max,dn_day_min,dm_day_avg,dm_day_max,dm_day_min,dx_day_avg,dx_day_max,dx_day_min,ta_day_avg,ta_day_max,ta_day_min,pa_day_avg,pa_day_max,pa_day_min,tp_day_avg,tp_day_max,tp_day_min,ua_day_avg,ua_day_max,ua_day_min,rc_day_avg,rc_day_max,rc_day_min,rd_day_avg,rd_day_max,rd_day_min,ri_day_avg,ri_day_max,ri_day_min,rp_day_avg,rp_day_max,rp_day_min,
2017-01-09 00:00:00+01,0.41,1.80,0.00,1.09,3.30,0.20,1.73,4.90,0.60,194.78,351.00,37.00,246.13,359.00,100.00,221.65,359.00,0.00,-9.16,-5.80,-12.50,999.38,1001.00,996.70,-4.97,-2.20,-7.60,53.80,65.70,41.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-10 00:00:00+01,0.38,2.20,0.00,1.13,3.00,0.20,1.90,4.50,0.40,180.22,359.00,0.00,132.78,359.00,0.00,145.87,359.00,0.00,-7.48,-4.20,-12.70,993.57,996.50,991.50,-3.60,-0.50,-7.10,60.05,71.20,47.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-11 00:00:00+01,0.28,1.80,0.00,0.79,3.00,0.20,1.41,4.20,0.30,211.43,359.00,0.00,202.70,359.00,0.00,181.65,359.00,0.00,-10.08,-3.20,-15.70,989.33,995.10,977.80,-5.15,0.00,-9.50,61.16,71.00,44.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-12 00:00:00+01,1.06,6.00,0.00,3.25,7.90,0.30,5.38,13.20,0.70,196.04,356.00,5.00,250.91,351.00,1.00,242.61,359.00,0.00,0.30,3.20,-8.70,979.30,981.80,976.60,1.78,4.00,-4.60,65.24,77.10,58.10,0.00,0.00,0.00,5.61,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-13 00:00:00+01,0.69,4.00,0.00,2.13,7.30,0.10,3.59,10.30,0.40,175.04,359.00,0.00,196.39,359.00,0.00,199.30,359.00,0.00,3.27,7.10,-0.80,970.34,978.80,968.10,4.12,7.40,1.10,54.11,62.70,42.80,0.00,0.00,0.00,0.87,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-14 00:00:00+01,0.71,3.30,0.00,2.34,5.80,0.40,3.86,10.00,0.90,221.00,312.00,79.00,275.26,345.00,222.00,244.48,359.00,0.00,1.16,2.60,-0.30,974.14,980.70,969.40,2.49,3.50,1.20,64.12,75.50,51.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-15 00:00:00+01,0.76,4.50,0.00,2.00,5.80,0.20,3.19,8.40,0.40,207.00,358.00,3.00,255.22,358.00,0.00,235.61,359.00,0.00,-0.61,1.40,-3.70,986.79,990.70,981.30,1.29,2.70,-0.20,69.26,78.40,58.10,0.00,0.00,0.00,6.61,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-16 00:00:00+01,0.42,2.80,0.00,1.08,4.90,0.10,1.72,6.30,0.30,226.43,359.00,0.00,221.74,358.00,0.00,191.39,359.00,0.00,-1.50,0.70,-4.40,993.88,998.70,991.00,0.93,2.40,-0.70,61.61,69.60,52.20,0.00,0.00,0.00,0.43,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-17 00:00:00+01,0.49,3.10,0.00,1.53,4.80,0.20,2.64,6.60,0.40,178.26,359.00,0.00,128.13,359.00,0.00,140.30,359.00,1.00,-3.20,-1.40,-5.50,1004.21,1008.90,999.10,-0.41,0.90,-2.80,68.29,76.80,62.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2017-01-18 00:00:00+01,0.59,3.30,0.00,2.01,4.40,0.50,3.43,8.00,1.20,157.74,359.00,0.00,66.91,147.00,1.00,128.30,279.00,35.00,-6.11,-4.90,-7.70,1011.30,1012.60,1009.10,-3.12,-1.70,-4.50,72.04,78.70,65.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
